Type of Prediction,,,,,,,,,,,,,Data Integration,,Application of Prediction,,,,,Experimental Validation,
Flux Phenotype,Essentiality (Global),KO (Targeted),Other Phenotype,Thermodynamics,Objective Function,Systemscale Property,Metabolite Phenotype,TRN/PPI/ Genetic Int,Synthetic Biology,Biological Discovery,ExpDes,Pathway Analaysis,Data Input?,Type of Data?,Met Eng,Inf Dis,Env,Biomed,Basic Science,Exp Conf?,New Exp?
,,,,,,x,,,,,,x,x,Fluxomics,,,,,x,,
,x,,,,,,,x,,,,x,,,,,,,x,x,
x,,,,,,,,,,,,,,,,,,,x,x,x
x,,,,,,,,,,,,x,,,x,,,,,x,x
,x,,,,,,,,,,,,,,,x,,,,,
,,,,,,,,,,,,x,,,,,,x,,x,
,,,,,,x,,,,,,,,,,,,,x,,
x,,,,,,,,,,,x,,,,x,,,,,x,x
,,,,,,x,,,,,,,x,Genomics,,,,,x,,
,,x,,,,,,,,,x,,,,x,,,,,x,x
,,,,,,x,x,,,,,,x,Transcriptomic,,,,,x,,
x,,,,,,,,x,,,,,,,,,,,x,x,
,,x,,,,,,,,,x,,,,x,,,,,x,x
,x,,,,,,,,,,,,,,,x,,,,x,
x,x,,,,,,,,,,,,,,,x,,,,,
,,x,,,,,,,,,x,,,,x,,,,,,
,x,,,,,x,,,,,,,,,,,,,x,x,
x,x,,,,,,,,,x,,,,,,x,,,,x,
,,x,,,,,,,x,,x,,,,x,,,,,x,x
x,x,,,,,,,,,,x,,,,,,,,x,x,
x,x,,,,,,,,,,,,,,,x,,,,x,
x,,,,,,,,,,,,,,,,,,x,,x,
x,x,,,,,,,,,,,,,,,x,,,,x,
x,x,,,,,,,,,,x,,,,,,,,x,x,
,,,,,,x,,x,,,,,,,,,,,x,x,
x,x,,,,,,,,,,,,,,,,,,x,,
x,,,,,,x,,,,,,,,,,x,,,x,,
,,,x,,,,,,,,x,,,,,,,,x,,
x,x,,,,,,,,,,,,,,,,,,x,,
,x,,,,,,x,,,,,,,,,,,,x,x,
,,,,,,x,x,,,,,,,,,,,,x,,
,,,,,,x,,x,,,,,x,Transcriptomics,,,,,x,,
x,,,,,,,,,x,,x,,,,x,,,,,x,
,,,,,,,,,,,x,x,,,,,,,x,,
,,x,,,,,,,,,,x,,,,,,x,,,
x,x,,,,,,,,,,,,,,,,x,,,x,x
x,,x,,,,,,,,,x,,,,x,,,,,x,x
,x,,x,,,,,,,,,,,,,,,,x,,
x,,,,,,,,,,,,x,,,,,,,x,,
,,,,,,x,,,,,,,,,,,,x,,x,
,,,,,,,,,,x,,,,,,,,,x,x,x
,x,,,,,,,x,,,x,,,,,,,,x,x,x
x,,x,,,,,,,x,,x,,,,x,,,,,,
,x,,,,,x,,,,,,,,,,,,,x,x,x
,,x,,x,,,,,,,,,,,,,,,x,,
,x,,,,,,,,,x,,,,,,,,,x,x,x
x,,x,,,,,,,,,,,,,,,,x,x,x,
,,,,,,x,,,,,,,,,,,,,x,,
,,,,x,,,,,,,,,x,Metabolomics,,,,,x,,
,,,x,x,,,x,,,,,,x,Metabolomics,,,,,x,,
,,,x,,,,,,,,,,x,Transcriptomics/Metabolomics,,,,,x,,
,,,,,,x,,x,,,,x,,,,,,,x,,
x,,,,,,,,,,x,,,x,Fluxomics,,,,,x,x,
,,,,,,,,,,x,,,,,,,,,x,x,
x,,,,,,,,,,,x,,,,x,,,,,,
x,x,,,,,,,,,x,,,,,,,,,x,x,
,x,,,,,x,,,,,,,,,,,,,x,,
,,,,x,x,,,,,,,x,,,,,,x,,,
x,,,,,,,,,,,,,,,x,,,,,,
,,x,,,,,,,,,,x,,,x,,,,,x,x
,,,,,,,x,,,,,,x,Transcriptomics,x,,,,,,
x,,,,,,,,,,,x,,,,x,,,,,,
x,,,,,,,,,,,x,x,,,x,,,,,x,x
x,,,,,,,,,,,,,,,x,,,,,,
x,,,,x,,x,,,,,,x,x,Metabolomics,x,,,,x,,
,,,,,,,,x,,,x,,,,,,,,x,,
,,,,,,,x,,,,,,x,Transcriptomics,,,,,x,,
x,,,,,,,,,,,x,,,,x,,,,,x,x
,,,,,,,x,,,,x,,,,,,,,x,,
x,,,,,,,,,,,,,,,,,,x,,x,
,x,,,,,x,,,,,,,,,,,,,x,,
x,,,,,,x,,,,,,,,,,,,,x,,
,,,,,,x,,,,,,,,,,,,,x,,
x,,,,,,,,,,,,,,,,x,,,,x,x
x,,,,,,,,,,,,x,,,x,,,,,x,
x,,,,,,,,,,,x,x,,,x,,,,,,
x,x,,,,,x,,,,,,,,,,,,,x,x,
x,,,,,,x,,,,,,,,,,,,,x,,
x,,x,,,,,,,,,,,,,,,,x,,x,
x,,,,,,x,,,,x,,,x,Transcriptomics,,,,x,x,,
x,x,,,,,,,,,,,,,,x,,,,x,x,
x,,,,,x,,,,,,,,,,,,,,x,x,x
,,x,,,,,,,,,x,,,,x,,,,,x,x
x,x,,,,,,,,,x,,,,,,,,,x,x,x
x,,,,x,,,,,,,,,,,,,,,x,x,
x,,x,,,,,,,,,x,,,,x,,,,,x,x
x,x,,,,,x,,,,,x,,,,,x,,,,x,
x,,,,,,,,x,,,,,x,Transcriptomics,,,,,x,,
,x,,,,,x,,x,,x,,,,,,,,,x,x,x
x,x,,,,,,,,,,,,,,,x,,,,x,x
x,,,,,,,,,,,,,,,,,,,x,x,x
x,,x,,,,x,,,,,,,,,,,,,x,x,x
,,,,,,,x,,,,,,x,Transcriptomics,,,,,x,,
,x,,,,,x,x,,,,,,,,,x,,,x,x,x
x,x,x,,,,,,,,,x,,,,x,,,,,x,x
,,,,,,,x,,,,,,x,Transcriptomics,x,,,,,x,
,,,,,x,,,,,,,,,,,,,,x,x,
x,,,,,,,,,x,,x,,,,x,,,,,x,
x,x,,,,,,,,,,,,,,,,x,,,x,
x,,,,,,,,,,,x,,,,,x,,,,x,x
x,,,,,,,,,,,,,x,Exometabolomics,,,,,x,,
x,,,,,,,,,,,,,,,,,,x,,,
,,x,,,,,,,,x,,,,,,,,,x,x,x
,,,,,,,,,,,,x,x,Transcriptomics,,,,,x,,
x,,x,,,,,,,,,,,,,x,,,,,x,
,,,,x,,x,,,,,,x,,,,,,,x,,
x,,,,,,,,,,,,x,x,Exometabolomics,,,,,x,,
,,,,,,,,,,,x,x,,,x,,,,,,
x,,x,,,,,,,,,,,x,Exometabolomics,,,,,x,x,x
x,,,,,,,,x,,,,x,,,,,,,x,x,
x,,,,,x,,,,,,,,x,Fluxomics,,,,,x,,
,,,,,,x,,,,x,,,,,,,,,x,x,x
x,,,,,,,,,,,,,x,Fluxomics,,,,x,,x,
x,,x,,,,,,,,,,,,,,,,x,,x,
,,,,,,,,,,x,,x,,,,x,,,,,
x,,,,,,,,,,,,,,,x,,,,,,
x,,,,,,,,,,,,,,,,,,,x,,
x,x,,,,,x,,,,x,,,,,,,,,x,x,
x,,,,,,,,,,,,,,,x,,,,,x,x
x,,x,,,,,,,,,,,,,x,,,,,,
x,,,,,,,,,,,,,,,,,,x,,,
x,,,,,,x,,,,,,,,,,,,,x,,
,,,,,,x,,,,,,,,,,,,,x,,
x,,,,,,,,,,,x,,,,,,,,x,,
x,,,,,,,,x,,,,,,,,,,,x,x,
,,,x,,,x,,,,,,,x,Transcriptomics,,,,x,x,x,
,,,,,,x,,,,,,,,,,,,x,,x,
x,x,,,,,,,,,x,,,,,,x,,,,x,x
x,,x,,,,,,,,,x,x,,,x,,,,,x,x
x,,,x,,,,,,,,,,,,,,,,x,,
x,x,x,,,,,,,,x,x,,,,x,,,,x,x,
x,,,,,,x,,,,,,,x,Transcriptomics,,,,,x,,
x,x,,,,,,,x,,,,,,,,,,,x,x,
x,x,,,,,,,,,x,,,,,x,,,,,x,
x,,,x,,,,,,,,,,,,x,,,,,x,x
,x,x,,,,,,,,,,,,,x,,,,,,
,x,,,,,,,,,,,,,,,x,,,,x,
x,x,,x,,,,,,,x,x,,,,,x,,,,x,
,,x,,,,x,,,,,,,,,,,,,x,x,
x,x,,,,,,,,,x,,,,,x,,,,,x,x
x,,,,,,,,,,,,,,,x,,,,x,x,
x,x,,,,,,x,,,,,,x,Transcriptomics,,,,,x,x,
,,,,,,x,,x,,,,,,,,,,,x,x,
x,,x,,,,,,,,x,x,,,,,,x,,,x,x
x,,x,,,,,,,x,,x,,,,x,,x,,,x,x
x,,x,,,,,,,,,,,,,x,,,,x,,
,x,,,,,,,,,,,x,,,,,,,x,,
,,,,,x,,,,,,,,,,,,,,x,,
x,,,,,,,,,,x,,,,,,,,,x,,
x,s,,,,,,,x,,,,,,,,,,,x,,
x,,,,,,,,,,,,x,,,,,,,x,,
x,,,,,,x,,,,,,,,,,,,,x,x,x
x,x,,,,,,x,,,x,,,x,Transcriptomics,,,,,x,,
x,,,,,,,,,,,,,,,x,,,,,x,
x,x,,,,,,,,,x,,,,,,,,,x,x,x
x,,,,,,,,,,,,x,,,,,,,x,x,
,x,,,,,x,,,,,,,,,,,,,x,,
x,x,,,,,,,,,x,x,,,,,,,,x,x,x
x,,,,,,,,,,,,,,,x,x,,,,x,x
x,,,,,,x,,,,,,,,,,,,,x,x,
,,,,,,,,,,,,x,,,,,,x,,,
x,,,,,,,,,,,,,x,Exometabolomics,,,,,x,,
x,,,,,,,,,,,x,,,,x,,,,,x,x
x,,,,,,,,,,,,,,,,,,,x,x,x
x,,,,,,,,,,,,,,,,,,,x,x,x
,x,,,,,x,,,,x,,,,,,,,,x,,
,,,,,,x,x,,,,,,,,,,,,X,,
x,,,,,,,,,x,,x,,,,x,,,,,x,x
x,,,,,,,,,,,,,,,,x,,,,,
x,x,,,,,,,,,,x,,,,,,,,x,x,x
x,,,,,,,,x,,,,,,,,,,,x,x,x
x,x,,,,,,x,,,,,,x,Exometabolomics,,,,,x,x,
x,,,,,,,,,,,,,,,x,,,,,,
,,,,,,x,,,,,,,,,,,,,x,,
,x,,,,,,,,,x,x,,,,,x,,,,x,
,x,,,,,,,,,,x,,,,,x,,,,,
x,x,,,,,,,x,,,,,,,,,,,x,x,
x,x,,,,,,,,,,,,,,,,,,x,x,x
x,x,,,,,,,,,,,,,,,,,,x,,
x,x,,,,,,,,,,,,x,Transcriptomics,,x,,,,,
,,x,,,,,,,,,x,,,,x,,,,,x,x
,,,,,,,x,,,,,,x,Transcriptomics,,,,x,,,
x,,,,,,,,,,,,,x,Transcriptomics,,x,,,,x,
,x,,,,,,,,,,,,,,,,,,x,x,
x,,x,,,,,,,,,x,,,,,,,x,,x,
,x,,,,,x,,,,x,,,,,,,,,x,x,
x,,,,,,,,,,,,x,,,,,,,x,x,x
x,,x,,,,,,,,,x,x,,,x,,,,,x,x
x,x,,,,,,,,,,,x,,,,,,,x,,
,,,,,,,,,,x,,,,,x,,,,x,x,x
x,x,,,,,,,,,,,,,,,,x,,,x,x
x,x,,,,,,,,,,,,,,,x,,,,,
x,,,,,,,,,,,,,,,,x,,,,,
x,,x,,,,,,,,,,,,,x,,,,,x,x
,,x,,,,,,,,x,,,,,,,,,x,x,x
,x,,,,,x,,,,,,,,,,,,,x,,
x,x,,,,,,,,,,x,,,,x,,,,,x,x
x,,,,,,,,,,,,,,,,,x,,,x,
,,,,,,x,,x,,,,,,,,,,,x,x,
,,x,,,,,,,,,x,,,,x,,,,,x,x
x,x,,,,,,,,,,,,,,,x,,,,x,
x,,,,,,,,,,,,,,,x,,,,,x,x
x,x,,,,,,,,,x,,,,,,x,,,,x,
x,,,,,,,,,,,,,,,,,,x,,x,
x,,,x,,,,,,,,,,,,,x,,,,x,x
x,,,,,,,,,,,,,,,x,,,,,x,
,x,,,,,x,,,,,,,,,,,,,x,,
x,,,,,,,,,,,x,x,,,x,,,,,,
x,,,,,,,,,,x,,,,,,,x,,,x,x
x,,x,,,,x,,,,,,,,,x,,,,,x,
x,,,,,,x,,,,,,x,,,,,x,,,,
x,,,,,x,,,,,,,,,,,,,,x,x,
x,,,,,,,,,,,,x,,,x,,,,,x,
x,x,,,,,,,,,,,,,,,x,,,,x,
x,,x,,,,,,,,,,x,,,,,,,x,x,
x,,x,,x,,,,,,,,x,,,,,,,x,x,
x,,,,,,,,,,,,x,,,,,,,x,x,
x,,,,,,,,,,,,,x,Exometabolomics,,,,,x,,
,,,x,,,,,,,,,,,,,,,,x,x,
x,,,,,,,,,,,,,,,x,,,,x,,
x,,,,,,,,,,,,,,,x,,,,,x,x
x,,x,,,,,,,,,x,,,,x,,,,,x,x
x,,,,,,,,,,,,,,,x,,,,,,
x,,,,,,,,,,,x,,,,,,,,x,x,x
x,,,,,,,,,,,,,,,x,,,,,,
x,x,,,,,,,,,,,,,,,,,x,,x,
x,,,,,,,,,ú,,x,,,,x,,,,,,
x,,,,,,,,,,,,,,,x,,,,,x,
x,,,,,,,,,,,,,,,,,,,x,,
x,,,,,,,,,,,,x,,,,,,,x,x,
x,,,,,,x,,,,,,,,,,,,,x,,
,,,,,,x,x,,,,,,,,,,,,x,,
x,,,,,,,,,,,,,x,Multi-omics,,,,x,x,x,
x,,,,,,,,,,,,,,,,,,,x,x,
,x,,,,,,,x,,,,,,,,,,,x,x,x
,,,,,,,,,,x,,x,,,x,,,,,x,x
,,,x,,,,,,x,,,,,,,,,,x,,
,,,,,,,,,,,x,,,,x,,,,,x,
x,,x,,,,,,,,,x,,,,,,,x,x,x,
,,x,,,,,,x,,,,,,,x,,,,,,
x,,,,,,x,,,,,,,x,Trans/Prot,,,,,x,x,x
x,x,,,,,,,,,,,,x,Transcriptomics,,x,,x,,x,
,,x,,,,,,,,,x,,,,x,,,,,,
x,x,,,,,,,x,,x,,,,,,,,,x,x,
,x,,,,,,,,,,,,,,,x,,,,x,x
x,,x,x,,,x,,,,,,,x,Transcriptomics,,,,x,,,
,,x,,,,,,,,,,,,,x,,,,,x,x
x,,,x,,,x,,,,,,,x,Trans/Prot,,,,x,,x,
x,x,,,,,,,,,,,,,,,,,,x,x,
,,,,,,x,,,,,,,,,,,,,x,x,x
,,,,,x,,,,,,,,,,,,,x,x,,
x,,,,,,,,,,,,,,,,,,,x,x,x
x,,,,,,,,,,,,,,,,,,,x,x,
x,x,x,,,,,x,,,,,,x,Transcriptomics,x,,,,,,
,x,,,,,,x,,,,,,,,,x,,,,x,x
,,,,,,,x,,,,,,x,Transcriptomics,,,,x,,,
,x,,,,,,,,,,,,,,,,,,x,x,
x,,,,,,,,,,,x,,,,x,,,,,x,x
x,x,,,,,,,,,,,,,,,x,,,,,
,,,x,,,x,,,,,x,,,,,,,,x,,
x,x,,,,,,,,,x,,,,,x,,,,,x,
,,,,,,,x,,,,,,,,,x,,,,x,
,,x,,,,,,,,,,,,,x,,,,,x,x
x,,,,,,,,,,,,,,,x,,,,,x,x
,x,,,,,,x,,,,,,,,,x,,,,,
x,,,,,,,,,,,x,,,,x,,,,,x,x
x,x,,,,,,,,,,,,x,Transcriptomics,,x,,x,,,
x,,,,,x,,,,,,,,,,,x,,,,x,x
x,,,,,,,,x,,,,,,,x,,,,,x,x
x,,x,,,,,,,x,,x,,,,x,,,,,x,x
,x,,,,,x,,,,,,,,,,,,x,x,,
,,,,,,,,,x,,x,,,,x,,,,,x,
,,x,,,,,,,,,,x,,,x,,,,,x,x
x,x,,,,,x,x,,,,,,,,,,,,x,x,
,,x,,,,,,,,,x,,,,x,,,,,,
,x,,,,,,,,,x,,,,,,,,,x,x,
,,,,,,,x,,,,,,x,Metabolomics,,,,x,,,
x,,,,,,,,,,,,,,,x,,,,,x,
x,,,,,,,,,,,,,,,,,,,x,,
,,x,,,,,,,,,,x,,,x,,,,,x,x
x,,,x,,,x,,,,,,,,,,,,,x,,
,x,,,,,,,,,,x,,,,,,,,x,x,x
,,,,,,,,x,,x,x,,,,,,,,x,x,x
,,x,,,,,,,,,,x,,,x,,,,,x,
x,x,,,,,,,,,,,,,,x,,,,,x,
x,,,,,,x,,,,,,,,,,,,x,,,
x,,x,,,,,,x,,,,,,,,,,,x,x,
x,x,,,,,,,,,,,,,,,x,,,,,
x,,,,,,,,,,,,,,,x,,,,,,
x,,,,,,,,,,,,,,,x,,,,,x,
,,,x,,,x,,,,,,,,,,,,,x,,
x,,,,,,,,,,,x,,,,,,x,,,,
x,,x,,,,,,,,,,,,,x,,,,,,
x,x,,,,,,,,,,,,,,,,,x,,x,
x,,,,,,,,,,,,,x,Transcriptomics,x,,,,,x,
x,,,,,,,,,,,,,,,,,,,x,x,x
x,x,,,,,,,,,x,,,x,Proteomics,,x,,,,,
,x,x,,,,,x,,,,,x,,,,,,,x,x,
x,,,,,,,,,,,,,,,,,x,,,x,
x,x,,,,,,,,,,,,,,,x,,,,x,
x,,,,,,,,,,,,,,,,,x,,,x,x
x,,,,,,,,,,,,,,,,,,,x,,
x,,,,,,,,,,,,,,,,,,x,,,
,,,,,,x,x,,,,,,,,,,,,x,,
,x,,,,,,,,,,x,,,,x,,,,,,
x,,,,,,x,,,,,,,,,,,,,x,,
x,,,,,,,,,,,,,,,,,,x,,,
,,,,,,,,,,,x,,,,,,,x,x,,
,x,,,,,,,,,,,,,,,,,,x,x,
x,,,,,,,,,,,,,,,,,,x,,,
x,,,,,,,,,,,,x,,,x,,,,,x,
x,x,,,,,,,,,,,,,,,,,,x,,
,,,,,,,,,,,x,x,,,x,,,,,,
x,,,x,,,,,,,,,,,,,,,,x,x,
,,,,,,,,,,,x,,,,x,,,,,x,x
x,,,,,,,,,,,x,,,,x,,,,,x,
x,,,,,,,,,,,,,,,x,,,,,x,
x,,,,,,,,,,,,,,,,,x,,,,
x,,x,,,,,,,x,,,,,,x,,,,,x,x
,x,,,,,,,,,,,,x,Transcriptomics,,,,x,,x,x
x,,,x,,,,,,,,,,,,,,x,,,x,x
,x,,,,,,,,,,,,x,Transcriptomics,,,,x,,x,
x,,,,,,,,,,,,,,,,,,x,,x,
x,x,,,,,,,,,,,,,,,x,,,,x,
,,,,,,x,,,,x,,,x,Genetic Interactions,,,,,x,x,x
x,,,,,,,,,,,,,,,,x,,,,x,
,,,,,,,x,,,,,,,,,x,,,,x,x
x,,x,,,,,,,,,x,,,,x,,,,,x,x
x,x,,x,,,,,,,,,,,,x,,x,,x,x,x
x,,x,,,,,,,,,,,,,,,,,x,,
x,x,,,,,,,,,,,,,,,,,,x,x,
,,x,,,,,,,x,,x,,,,x,,,,,,
x,,,,,,x,,,,,,,,,,,,,x,x,
x,,x,,,,,,,,,x,,,,x,,,,,x,x
,,,,,,x,,x,,,,x,,,,,,,x,x,
x,x,,,,,,,,,,,,,,,,,,x,x,
,,,,,,x,,,,,,,,,,,x,,x,,
,,,,,,,,,,x,,,,,,,,x,,x,
x,,,,,,,,,,,,,,,x,x,,,,x,x
x,,x,,,,,,,,,,,,,x,,,,,x,x
x,,,,,,,,,,,,,,,,,,x,x,,
,x,,,,,x,,,,,,,,,,,,,x,x,
x,,x,,,,,,,,,x,,,,x,,,,,x,
x,x,,,,,,,,,,,,,,x,,,,,,
x,,,x,,,,,,,,,,x,Transcriptomics,x,,,,,,
x,x,,,,,,,,,,,,,,x,,,,,x,x
x,,,,,,,,,,,,,x,Exometabolomics,,,,,x,x,x
x,,,,,,,,,,,,,x,Transcriptomics,,,,x,,x,
x,,,,,,,,,,,,,,,x,,,,,x,
,x,,,,,,,,,x,,,,,,x,,,,x,x
x,,x,,,,,,,,,,,,,x,,,,,,
x,x,,,,,,,,x,,,,,,x,,,,,,
x,x,,,,,,,,,,,x,,,,,x,,,,
,,,,x,,x,,,,,,x,,,,,,,x,x,x
x,,,,,,,,,,,,,,,x,,,,,x,
x,x,,,,,,,,,,,,,,x,,,,,,
,x,,,,,,,,,,,,,,x,x,,,,,
x,x,,,,,,,,,,,,,,x,,,,,x,x
x,x,,,,,,,,,,,,,,x,,x,,,x,
x,,,,,,,,,,,,,,,,,,x,,,
x,x,,,,,x,,,,,,,,,,,,,x,x,
x,x,,,,,,,,,,,,,,,x,,,x,x,x
x,,,,,,,x,,,,,,x,Transcriptomics,,x,,,,x,
x,,x,,,,x,,,,,,,,,,,,,x,,
,,,,,,,,,,,,x,,,,,,x,,,
x,,,,,,,,,,,x,,,,x,,,,,x,x
x,,,,,,,,,,,x,,,,x,,,,,x,x
,,,,,,,,,,,,x,,,,,,x,,,
x,,x,,,,,,,,,,,x,Trans/Prot,,,,,x,x,x
x,,,,,,,,,,,,,,,x,,,,,x,
x,,,,,,,,,,,,,,,,,,x,,,
x,,x,,,,,,,,x,,,x,Proteomics,,,,x,,,
,,,,,,,,,,,,x,,,x,,,,,,
x,,,,,,,,,,,,,,,x,,x,,,x,x
x,,x,,,,,,,,,,,,,x,,x,,,x,
x,,,,,,x,,,,,,,,,x,,,,,x,
x,,,,,,,,,x,,x,,,,x,,,,,,
x,,,,,,,,,,,,,,,x,,x,,,x,
x,,,,,,,,,,x,,,x,Trans/Metabolomics,,,,x,,x,x
x,,,,,,,,,,,x,,,,x,,,,,x,x
x,,,,,,x,,,,,,,,,,,,,x,,
x,,,,,,,,,,,,x,,,,,,,x,x,
x,x,,,,,,,,,x,,,,,,x,,,,x,x
x,x,x,,,,,,,,,x,,,,x,,x,,,x,x
x,,,,,,,,,,,,,,,x,,x,,,x,
x,,x,,,,,,,,,,x,,,x,x,,,x,x,
x,,x,,,,,,,,,,,,,,,,x,,,
x,,x,,,,,,,,,x,,,,x,,,,,,
,x,,,,,,,,,,,,,,,x,,,,x,x
x,x,,,,,,,,,,,,,,,,,x,x,,
x,,,,,,,,,,,,,x,Transcriptomics,,,,,x,x,x
x,,,,,,,,,,,,,x,Exometabolomics,,x,,,,x,x
x,,x,,,,,x,,,,,,,,x,,,,,,
,x,,,,,,,,,,,x,,,,,,,x,x,
x,,,,,,,,,,,,,x,Metabolomics,,,,x,,x,x
x,,,,,,,,,,,,x,,,,,,x,,x,x
x,,,,,,,,,,,,,,,x,,,,,,
x,,,,,,,x,,,,,x,,,x,,,,,x,x
x,,x,,,,,,,,,x,,,,x,,,,,,
x,,,,,,,,,,,,x,,,x,,,,,x,x
x,,,,,,,,,,,,x,,,,,,,x,,
,,,,,,x,,,,,,x,,,,,,,x,,
x,x,,,,,,,,,,,,x,Trans/Prot,,,,x,,,
x,,,,,,,,,,,,,,,x,,,,,x,x
x,,x,,,,,,,,,,,,,x,,,,,x,
x,,,,,,,,,x,,x,,,,x,,,,,x,
,x,,,,,,,,,,,,,,,x,,,,x,x
x,,,,,,,,,,,,,x,Transcriptomic,,x,,,,x,
,x,,,,,,,,,,,,,,,,,,x,x,x
x,,,,,,,,,,,,,,,,,x,,,x,
x,,,,,x,x,,,,,,,x,Fluxomics,,,,,x,x,x
x,,x,,,,,,,,,,,x,Proteomics,,,,,x,x,
x,x,,,,,,,,,,,,,,x,,,,x,x,
x,x,,,,,,,,,,,x,,,x,,,,,x,x
,,,,,,,,,,,x,,x,Fluxomics,,,,,x,x,x
x,,,,,x,,,,,,,,,,x,,,,,x,x
x,,,,,,,,,,,,,,,x,,,,,x,x
x,,x,,,,,,,,,,,,,x,,x,,,x,x
x,,,,,,,,,,,,,x,Exometabolomics,x,,,,,x,x
,,,,,,,,,,x,,,,,,,,,x,x,x
