Authors,Title,Journal,Year,PMID/filename,UT,Great papers,Short Description,Flux Phenotype,Essentiality (Global),KO (Targeted),Other Phenotype,Thermodynamics,Objective Function,Systemscale Property,Metabolite Phenotype,TRN/PPI/ Genetic Int,Synthetic Biology,Biological Discovery,ExpDes,Pathway Analaysis,Data Input?,Type of Data?,Met Eng,Inf Dis,Env,Biomed,Basic Science,Exp Conf?,New Exp?,Organism,Last Author,Location,Total Citations,Citations in first 2 years,
"Pal, C; Papp, B; Lercher, MJ",Adaptive evolution of bacterial metabolic networks by horizontal gene transfer,NATURE GENETICS,2005,16311593,2.34E+11,x,"Study horizontal gene transfer using KOs in E. coli, find most gains and losses occur at the preiphery and transporters; coupled reactions are often moved together",,,,,,,x,,,,,,,x,Genomics,,,,,x,,,Escherichia coli,Lercher,"University of Bath, Bath, Somerset, UK",166,,
"Majewski, RA; Domach, MM",Simple¾constrained-optimization¾view¾of¾acetate¾overflow¾in¾E.¾coli.,BIOTECHNOLOGY AND BIOENGINEERING,1990,18592570,,x,"First experimentally confirmed FBA paper, show acetate overflow in E. coli is due to constraining NADH turnover rate or activity of key TCA enzymes",x,,,,,,,,,,,,,,,,,,,x,x,,Escherichia coli,Domach,"Carnegie Mellon University, Pittsburgh, Pennsylvania",163,,
"Beard, DA; Liang, SC; Qian, H",Energy balance for analysis of complex metabolic networks,BIOPHYSICAL JOURNAL,2002,12080101,1.76E+11,x,Introduce EBA and use to predict reaction potentials and conductivities ; remove fluxes that are not feasible,,,x,,x,,,,,,,,,,,,,,,x,,,Escherichia coli,Qian,"University of Washington, Seattle, Washington",159,,
"Schwender, J; Goffman, F; Ohlrogge, JB; Shachar-Hill, Y",Rubisco without the Calvin cycle improves the carbon efficiency of developing green seeds,NATURE,2004,15592419,,,"Discovered new route for oil synthesis in developing plants, used EFMs to show that it is optimal ",,,,,,,,,,,,,x,,,,,,,x,x,x,Brassica napus,Shachar-Hill,"Michigan State University, East Lansing, Michigan",155,,
"Pramanik, J; Keasling, JD",Stoichiometric model of Escherichia coli metabolism: Incorporation of growth-rate dependent biomass composition and mechanistic energy requirements,BIOTECHNOLOGY AND BIOENGINEERING,1997,18642243,A1997YC15800006,x,Growth rate dependent biomass composition; flux predictions on growth on acetate and acetate/glucose,x,,,,,,,,,,,,,,,,,,,x,x,,Escherichia coli,Keasling,"University of California, Berkeley, California",155,,
"Covert, MW; Schilling, CH; Palsson, B",Regulation of gene expression in flux balance models of metabolism,JOURNAL OF THEORETICAL BIOLOGY,2001,11708855,,,Build rFBA model; use to study transcriptional regulation on cellular metabolism,x,,,,,,,,x,,,,,x,Transcriptomics,,,,,x,,,model,Palsson,"University of California San Diego, La Jolla, California",151,,
"Park, Jin Hwan; Lee, Kwang Ho; Kim, Tae Yong; Lee, Sang Yup",Metabolic engineering of Escherichia coli for the production of L-valine based on transcriptome analysis and in silico gene knockout simulation,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2007,17463081,2.46E+11,,In silico KO for help in designing valine production strain in E coli,,,x,,,,,,,,,x,,,,x,,,,,x,x,Escherichia coli,Lee,"KAIST, Daejeon, Korea",148,,
"Alper, H; Jin, YS; Moxley, JF; Stephanopoulos, G",Identifying gene targets for the metabolic engineering of lycopene biosynthesis in Escherichia coli,METABOLIC ENGINEERING,2005,15885614,2.29E+11,x,Use OptKnock to determine KO strains for lycopene production; experimentally built,,,x,,,,,,,,,x,,,,x,,,,,x,x,Escherichia coli,Stephanopoulos,"MIT, Cambridge, Massachusetts",148,,
"Mahadevan, R; Edwards, JS; Doyle, FJ",Dynamic flux balance analysis of diauxic growth in Escherichia coli,BIOPHYSICAL JOURNAL,2002,12202358,1.78E+11,,"Dynamic optimization baseed dFBA, better fit to experiments than original Varma paper; instantaneous objective function is better than fixed",x,,,,,,,,,,,,,,,,,,,x,x,,Escherichia coli,Doyle,"University of Delaware, Newark, Delaware",143,,
"Dandekar, T; Schuster, S; Snel, B; Huynen, M; Bork, P",Pathway alignment: application to the comparative analysis of glycolytic enzymes,BIOCHEMICAL JOURNAL,1999,10493919,,,Use of EFMs to show blocking even central enzymes in glycoclysis might not be effective as antibiotic due to plasticity and variability of pathways,,,x,,,,,,,,,,x,,,,x,,,x,,,multiple,Bork,"Max Delbruck Centre for Molecular Medicine, Berlin, Germany",141,,
"Patil, KR; Nielsen, J",Uncovering transcriptional regulation of metabolism by using metabolic network topology,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2005,15710883,2.27E+11,x,"Reporter metabolites, integrate expression data into metabolic network nodes to determine areas of key changes, better data interpretation tool; focus on yeast KO strains",,,,,,,x,x,,,,,,x,Transcriptomic,,,,,x,,,Saccharomyces cerevisiae,Nielsen,"Technical University of Denmark, Lyngby, Denmark",139,,
"Shlomi, T; Berkman, O; Ruppin, E",Regulatory on/off minimization of metabolic flux changes after genetic perturbations,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2005,15897462,2.29E+11,,"ROOM, shown to be better than MOMA and FBA, though biomass is not optimized for, the flux changes that occur lead towards that suggesting regulatory mechanisms favor higher biomass even w/o evolution",x,,,,,,,,x,,,,,,,,,,,x,x,,Escherichia coli,Ruppin,"Tel Aviv University, Tel Aviv, Israel",136,,
"Covert, MW; Palsson, BO",Transcriptional regulation in constraints-based metabolic models of Escherichia coli,JOURNAL OF BIOLOGICAL CHEMISTRY,2002,12006566,,,Scale up of rFBA to central E. coli metabolism,x,x,,,,,,,x,,,,,,,,,,,x,x,,Escherichia coli,Palsson,"University of California San Diego, La Jolla, California",134,,
"Edwards, Jeremy S.; Palsson, Bernhard O.",Metabolic flux balance analysis and the in silico analysis of Escherichia coli K-12 gene deletions,BMC BIOINFORMATICS,2000,11001586,,,"PhPP, essentiality analysis, yield of biosynthetic precursors",x,x,,,,,,,,,,,,,,,,,,x,x,,Escherichia coli,Palsson,"University of California San Diego, La Jolla, California",133,,
"VARMA, A; BOESCH, BW; PALSSON, BO",STOICHIOMETRIC INTERPRETATION OF ESCHERICHIA-COLI GLUCOSE CATABOLISM UNDER VARIOUS OXYGENATION RATES,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,1993,8368835,,,Determine optimal fluxes during variabl e oxygen input,x,,,,,,,,,,,,,,,,,,,x,x,,Escherichia coli,Palsson,"University of Michigan, Ann Arbor, Michigan",131,,
"VARMA, A; BOESCH, BW; PALSSON, BO",BIOCHEMICAL PRODUCTION CAPABILITIES OF ESCHERICHIA-COLI,BIOTECHNOLOGY AND BIOENGINEERING,1993,18609648,,,"Determine optimal nutrients for different E coli products; capabilities of network, carbon conversion yields",x,,,,,,,,,,,,,,,x,,,,,,,Escherichia coli,Palsson,"University of Michigan, Ann Arbor, Michigan",131,,
"Fong, SS; Palsson, BO",Metabolic gene-deletion strains of Escherichia coli evolve to computationally predicted growth phenotypes,NATURE GENETICS,2004,15448692,,x,E. coli KO strains evolve to FBA solutions,x,,,,,,,,,,,,,,,,,,,x,x,x,Escherichia coli,Palsson,"University of California San Diego, La Jolla, California",129,,
"VARMA, A; PALSSON, BO",METABOLIC CAPABILITIES OF ESCHERICHIA-COLI .2. OPTIMAL-GROWTH PATTERNS,JOURNAL OF THEORETICAL BIOLOGY,1993,Varma_1993_JTB,,,"ATP demand is a big drain, pathway utilization is consistent with experiments, shadow prices of inputs shows sugar monophosphates as best utilized ",x,,,,,,,,,,,,,,,,,,,x,x,,Escherichia coli,Palsson,"University of Michigan, Ann Arbor, Michigan",129,,
"Pharkya, P; Burgard, AP; Maranas, CD",OptStrain: A computational framework for redesign of microbial production systems,GENOME RESEARCH,2004,15520298,2.25E+11,x,"Add reactions to network for metabolic engineering, then use OptKnock to growth couple it",,,,,,,,,,x,,x,,,,x,,,,,,,Escherichia coli,Maranas,"Pennsylvania State University, University Park, Pennsylvania",128,,
"Pharkya, P; Burgard, AP; Maranas, CD",Exploring the overproduction of amino acids using the bilevel optimization framework OptKnock,BIOTECHNOLOGY AND BIOENGINEERING,2003,14708128,1.88E+11,,Modified OptKnock for overproduction of varying amino acids,,,x,,,,,,,,,x,,,,x,,,,,,,Escherichia coli,Maranas,"Pennsylvania State University, University Park, Pennsylvania",128,,
"Shlomi, Tomer; Cabili, Moran N.; Herrgard, Markus J.; Palsson, Bernhard O.; Ruppin, Eytan",Network-based prediction of human tissue-specific metabolism,NATURE BIOTECHNOLOGY,2008,18711341,,x,Integrating expression data to build tissue-specific models from Recon1; reveals role of post-transcriptional regulation; predictions of tissue-specific data is much better,,,,x,,,x,,,,,,,x,Transcriptomics,,,,x,x,x,,human (multiple tissues),Ruppin,"Tel Aviv University, Tel Aviv, Israel",125,,
"Schilling, CH; Palsson, BO",Assessment of the metabolic capabilities of Haemophilus influenzae Rd through a genome-scale pathway analysis,JOURNAL OF THEORETICAL BIOLOGY,2000,10716908,,x,"First calculated ExPas for genome-scale model (by subsystem); used to curate sequence annotation, predict gene products to be co-regulated/expressed, minimal substrate requirements, gene deletions",,x,,,,,,,x,,,x,x,,,,x,,,x,,,Haemophilus influenzae,Palsson,"University of California San Diego, La Jolla, California",124,,
"Liao, JC; Hou, SY; Chao, YP","Pathway analysis, engineering, and physiological considerations for redirecting central metabolism",BIOTECHNOLOGY AND BIOENGINEERING,1996,18629859,A1996VH41300014,x,"First use of ExPa type pathways for pathway engineering, experimentally remove genes to reach theoretical yield",,,x,,,,,,,,,x,x,,,x,,,,,x,x,Escherichia coli,Chao,"Texas A&M University, College Station, Texas",123,,
"Oh, You-Kwan; Palsson, Bernhard O.; Park, Sung M.; Schilling, Christophe H.; Mahadevan, Radhakrishnan",Genome-scale reconstruction of metabolic network in Bacillus subtilis based on high-throughput phenotyping and gene essentiality data,JOURNAL OF BIOLOGICAL CHEMISTRY,2007,17573341,,x,"Recon; annotated 48 genes for growth; gene essentiality analysis, corrected 60 cases; added more putative genes based on metabolic capabilities",x,x,,,,,,,,,x,,,,,,,,,x,x,x,Bacillus subtilis,Mahadevan,"Genomatica, San Diego, California",122,,
"Henry, Christopher S.; Broadbelt, Linda J.; Hatzimanikatis, Vassily",Thermodynamics-based metabolic flux analysis,BIOPHYSICAL JOURNAL,2007,17172310,2.44E+11,,Add thermodynamics to FBA to predict thermodynamic bottlenecks in flux distributions,x,,,,x,,,,,,,,,,,,,,,x,x,,Escherichia coli,Hatzimanikatis,"Ecole Polytechnique, Lausanne, Switzerland",120,,
"Mahadevan, R; Bond, DR; Butler, JE; Esteve-Nunez, A; Coppi, MV; Palsson, BO; Schilling, CH; Lovley, DR",Characterization of metabolism in the Fe(III)-reducing organism Geobacter sulfurreducens by constraint-based modeling,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,2006,16461711,,,Geobacter recon; electron acceptors were rate limited by intracellular acceptors; more fficient in AA syntehsis than E coli; gene deletion analysis,x,x,,,,,,,,,,,,,,,,x,,,x,x,Geobacter sulfurreducens,Lovely,"University of Massachusetts, Amherts, Massachusetts",115,,
"VANGULIK, WM; HEIJNEN, JJ",A METABOLIC NETWORK STOICHIOMETRY ANALYSIS OF MICROBIAL-GROWTH AND PRODUCT FORMATION,BIOTECHNOLOGY AND BIOENGINEERING,1995,18623538,A1995TF74900016,,"Using ATP maintenance and P/O ratio as constraints, can calculate biomass yield",x,,,,,,,,,,,,,,,x,,,,,x,,Saccharomyces cerevisiae,Heijnen,"Delft University of Technology, Delft, Netherlands",114,,
"SAVINELL, JM; PALSSON, BO",OPTIMAL SELECTION OF METABOLIC FLUXES FOR INVIVO MEASUREMENT. 2. APPPLICATION TO ESCHERICHIA COLI AND HYBRIDOMA CELL METABOLISM,,1992,1453698,,x,"First experimental design paper, determine which fluxes in network to experimentally measure for optimal internal flux determination; show how much error can exist from measuring wrong set of fluxes",,,,,,,,,,,,x,,,,,,,,x,,,"Escherichia coli, mouse hybridoma",Palsson,"University of Michigan, Ann Arbor, Michigan",111,,
"SAVINELL, JM; PALSSON, BO",OPTIMAL SELECTION OF METABOLIC FLUXES FOR INVIVO MEASUREMENT .1. DEVELOPMENT OF MATHEMATICAL-METHODS,JOURNAL OF THEORETICAL BIOLOGY,1992,1453697,,x,See above,,,,,,,,,,,,x,,,,,,,,x,,,"Escherichia coli, mouse hybridoma",Palsson,"University of Michigan, Ann Arbor, Michigan",111,,
"SAVINELL, JM; PALSSON, BO",NETWORK ANALYSIS OF INTERMEDIARY METABOLISM USING LINEAR OPTIMIZATION .1. DEVELOPMENT OF MATHEMATICAL FORMALISM,JOURNAL OF THEORETICAL BIOLOGY,1992,1593896,,x,"Use shadow prices to show amino acids are lmiting nutrients for growth; secreted products typically have lower shadow prices; input ""worth"" is determined for glucose and glutamine",x,,,,,,,,,,,,,,,,,,,x,x,,mouse hybridoma,Palsson,"University of Michigan, Ann Arbor, Michigan",111,,
"SAVINELL, JM; PALSSON, BO",NETWORK ANALYSIS OF INTERMEDIARY METABOLISM USING LINEAR OPTIMIZATION .2. INTERPRETATION OF HYBRIDOMA CELL-METABOLISM,JOURNAL OF THEORETICAL BIOLOGY,1992,1593897,,x,See above,x,,,,,,,,,,,,,,,,,,,x,x,,mouse hybridoma,Palsson,"University of Michigan, Ann Arbor, Michigan",111,,
"VARMA, A; PALSSON, BO",METABOLIC CAPABILITIES OF ESCHERICHIA-COLI .1. SYNTHESIS OF BIOSYNTHETIC PRECURSORS AND COFACTORS,JOURNAL OF THEORETICAL BIOLOGY,1993,21322280,,,Determine optimal yield of precursors and cofactors,x,,,,,,,,,,,,,,,,,,,x,,,Escherichia coli,Palsson,"University of Michigan, Ann Arbor, Michigan",109,,
"Lee, Kwang Ho; Park, Jin Hwan; Kim, Tae Yong; Kim, Hyun Uk; Lee, Sang Yup",Systems metabolic engineering of¾Escherichia coli¾for¾L-threonine production,MOLECULAR SYSTEMS BIOLOGY,2007,18059444,2.52E+11,,Use models for targeted KOs in threonine production strain to lower acetic acid production,x,,x,,,,,,,,,x,,,,x,,,,,x,x,Escherichia coli,Lee,"KAIST, Daejeon, Korea",106,,
"Fong, SS; Burgard, AP; Herring, CD; Knight, EM; Blattner, FR; Maranas, CD; Palsson, BO",In silico design and adaptive evolution of Escherichia coli for production of lactic acid,BIOTECHNOLOGY AND BIOENGINEERING,2005,15962337,,,Experimentally test OptKnock predictions for E. coli lactate production,,,x,,,,,,,,,x,,,,x,,,,,x,x,Escherichia coli,Palsson,"University of California San Diego, La Jolla, California",103,,
"Thiele, I; Vo, TD; Price, ND; Palsson, BO",Expanded metabolic reconstruction of Helicobacter pylori (iIT341 GSM/GPR): an in silico genome-scale characterization of single- and double-deletion mutants,JOURNAL OF BACTERIOLOGY,2005,16077130,,,"Single, double gene deletions",,x,,,,,,,,,,,,,,,x,,,,x,,Helicobacter pylori,Palsson,"University of California San Diego, La Jolla, California",103,,
"Fell, DA; Small, JR",Fat¾synthesis¾in¾adipose¾tissue. An¾examination¾of¾stoichiometric¾constraints.,BIOCHEMICAL JOURNAL,1986,3800960,,x,"First FBA paper, show lactate formation is not required for fat synthesis in adipose implying that glucose input exceeds lipogenesis",x,,,,,,,,,,,,,,,,,,,x,,,human,Small,"Oxford Polytechnic, Headington, Oxford, UK",103,,
"Bro, C; Regenberg, B; Forster, J; Nielsen, J",In silico aided metabolic engineering of Saccharomyces cerevisiae for improved bioethanol production,METABOLIC ENGINEERING,2006,16289778,2.36E+11,,"Assess different metabolic engineering techniques with FBA, choose promising one and experimentally confirm higher ethanol yield",x,,x,,,,,,,,,x,,,,x,,,,,x,x,Saccharomyces cerevisiae,Nielsen,"Technical University of Denmark, Lyngby, Denmark",102,,
"Reed, JL; Palsson, BO",Genome-scale in silico models of E-coli have multiple equivalent phenotypic states: Assessment of correlated reaction subsets that comprise network states,GENOME RESEARCH,2004,15342562,,,"Determine alternate optimal solutions with MILP, findings: only few reactions have variable fluxes, correlated rxns mimic TRN and co-expression, many condition dependent fluxes",x,,,,,,,,x,,,,,,,,,,,x,,,Escherichia coli,Palsson,"University of California San Diego, La Jolla, California",102,,
"Becker, SA; Palsson, BO",Genome-scale reconstruction of the metabolic network in Staphylococcus aureus N315: an initial draft to the two-dimensional annotation,BMC MICROBIOLOGY,2005,15752426,,,"Staph reconstruction; minimal media requirements, flux phenotypes, gene essentiality analyses",x,x,,,,,,,,,,,,,,,x,,,,,,Staphylococcus aureus,Palsson,"University of California San Diego, La Jolla, California",100,,
"Lee, D. -S.; Park, J.; Kay, K. A.; Christakis, N. A.; Oltvai, Z. N.; Barabasi, A. -L.",The implications of human metabolic network topology for disease comorbidity,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2008,18599447,2.58E+11,,Topological use of Recon1 to link enzyme placement in network with associated disease comorbidity,,,,,,,x,,,,,,,,,,,,x,,x,,human,Barabasi,"Northeastern University, Boston, Massachusetts",99,,
"Patil, KR; Rocha, I; Forster, J; Nielsen, J",Evolutionary programming as a platform for in silico metabolic engineering,BMC BIOINFORMATICS,2005,16375763,2.35E+11,,"Use genetic algorithm to determine best KO strategy, similar to OptKnock, focus on succinic acid production",,,x,,,,,,,,,x,,,,x,,,,,,,Saccharomyces cerevisiae,Nielsen,"Technical University of Denmark, Lyngby, Denmark",99,,
"Pal, C; Papp, B; Lercher, MJ; Csermely, P; Oliver, SG; Hurst, LD",Chance and necessity in the evolution of minimal metabolic networks,NATURE,2006,16572170,2.36E+11,x,"Use repeated KOs in E.coli controlling for environment to ""evolve"" into particular organisms; the gene content of a cell can be well predicted by lifestyle and ancesto; core gene set is conserved which is overrepresented in experimental data",,x,,x,,,,,,,,,,,,,,,,x,,,Escherichia coli,Hurst,"University of Bath, Bath, Somerset, UK",96,,
"Teusink, Bas; Wiersma, Anne; Molenaar, Douwe; Francke, Christof; de Vos, Willem M.; Siezen, Roland J.; Smid, Eddy J.",Analysis of growth of Lactobacillus plantarum WCFS1 on a complex medium using a genome-scale metabolic model,JOURNAL OF BIOLOGICAL CHEMISTRY,2006,17062565,2.43E+11,,Built model of Lactobacillus plantarum; biomass growth rate incorrectly predicted due to inefficiencies ignored by FBA,x,,,,,,,,,,,,x,x,Uptake,,,,,x,,,Lactobacillus plantarum,Smid,"Radboud University, Nijmegen, Netherlands",95,,
